vm_id,cpu_cores,ram,bandwidth_req,net_1_load,net_1_latency,net_1_bandwidth_avail,net_2_load,net_2_latency,net_2_bandwidth_avail,net_3_load,net_3_latency,net_3_bandwidth_avail,net_4_load,net_4_latency,net_4_bandwidth_avail,net_5_load,net_5_latency,net_5_bandwidth_avail,net_6_load,net_6_latency,net_6_bandwidth_avail,net_7_load,net_7_latency,net_7_bandwidth_avail,net_8_load,net_8_latency,net_8_bandwidth_avail,net_9_load,net_9_latency,net_9_bandwidth_avail,net_10_load,net_10_latency,net_10_bandwidth_avail,net_11_load,net_11_latency,net_11_bandwidth_avail,net_12_load,net_12_latency,net_12_bandwidth_avail,net_13_load,net_13_latency,net_13_bandwidth_avail,net_14_load,net_14_latency,net_14_bandwidth_avail,net_15_load,net_15_latency,net_15_bandwidth_avail,net_16_load,net_16_latency,net_16_bandwidth_avail,net_17_load,net_17_latency,net_17_bandwidth_avail,net_18_load,net_18_latency,net_18_bandwidth_avail,net_19_load,net_19_latency,net_19_bandwidth_avail,net_20_load,net_20_latency,net_20_bandwidth_avail,label_network_id,task_completion_time,throughput_achieved,task_type
28,1,512,207,0.46,11.85,1044,0.44,11.61,921,0.12,6.80,833,0.25,8.69,1089,0.01,5.15,885,0.06,10.88,959,0.59,18.80,1131,0.11,11.71,894,0.18,12.65,1139,0.10,11.53,1050,0.46,16.86,935,0.37,15.57,985,0.58,18.66,820,0.46,16.96,822,0.52,17.76,853,0.44,26.58,1175,0.26,23.89,1029,0.11,21.58,978,0.31,24.62,1109,0.50,27.49,850,5,10.00,202.10,cpu_bound
29,2,2048,149,0.41,11.13,1134,0.51,12.58,1147,0.56,13.44,993,0.33,9.90,1110,0.26,8.85,1106,0.17,12.59,1109,0.40,16.00,987,0.47,17.02,1084,0.39,15.79,1111,0.32,14.87,948,0.56,18.33,1167,0.14,12.10,967,0.55,18.23,905,0.32,14.80,1064,0.32,14.78,1186,0.26,23.89,873,0.00,20.03,878,0.39,25.90,1184,0.59,28.88,1111,0.31,24.66,1005,17,25.00,134.40,io_bound
30,1,2048,242,0.03,5.51,946,0.08,6.22,1187,0.47,12.07,937,0.47,12.12,860,0.10,6.56,967,0.49,17.38,877,0.35,15.20,822,0.48,17.18,970,0.24,13.62,958,0.32,14.75,1121,0.13,11.93,1102,0.20,12.95,812,0.36,15.35,955,0.48,17.24,931,0.23,13.51,811,0.35,25.18,963,0.46,26.95,1149,0.48,27.21,902,0.37,25.48,844,0.03,20.52,911,1,10.00,211.57,cpu_bound
31,1,512,271,0.53,12.92,807,0.53,12.90,991,0.00,5.05,885,0.24,8.57,1182,0.06,5.91,991,0.35,15.23,1135,0.49,17.37,930,0.52,17.80,1178,0.41,16.12,1069,0.41,16.19,980,0.27,14.06,884,0.01,10.19,912,0.48,17.25,1091,0.36,15.44,973,0.44,16.66,1130,0.27,24.11,824,0.10,21.43,916,0.25,23.74,1040,0.38,25.66,834,0.34,25.10,828,3,50.00,246.08,io_bound
33,2,512,235,0.30,9.44,1125,0.14,7.13,992,0.42,11.36,839,0.08,6.21,994,0.22,8.35,1065,0.47,17.04,1161,0.42,16.31,901,0.07,11.11,1051,0.46,16.92,972,0.13,11.95,1094,0.08,11.25,1057,0.09,11.31,901,0.00,10.07,847,0.28,14.16,976,0.12,11.83,862,0.08,21.13,1094,0.56,28.40,1199,0.49,27.41,1098,0.09,21.28,1123,0.42,26.31,943,13,5.00,224.12,cpu_bound
34,1,4096,163,0.57,13.50,1042,0.30,9.48,826,0.20,7.95,955,0.52,12.76,882,0.22,8.32,1131,0.49,17.31,871,0.03,10.43,700,0.43,16.49,952,0.11,11.58,823,0.25,13.71,1196,0.46,16.93,1054,0.38,15.72,859,0.42,16.31,1129,0.30,14.44,879,0.09,11.35,911,0.11,21.63,900,0.16,22.33,888,0.51,27.66,1163,0.36,25.41,855,0.26,23.85,923,7,50.00,144.62,io_bound
35,2,4096,278,0.16,7.33,1063,0.59,13.89,1102,0.59,13.90,1134,0.19,7.81,992,0.13,6.99,1048,0.30,14.51,1109,0.49,17.41,1171,0.38,15.64,892,0.47,17.09,1050,0.15,12.23,1020,0.46,16.93,809,0.33,14.98,846,0.33,15.01,1013,0.60,18.95,1155,0.49,17.28,1129,0.21,23.20,1029,0.01,20.17,568,0.17,22.56,1150,0.13,21.88,1062,0.57,28.58,1170,17,75.00,273.86,mixed
36,2,1024,198,0.53,12.99,1099,0.46,11.85,1179,0.49,12.31,1129,0.20,8.03,862,0.07,5.98,983,0.03,10.51,1028,0.39,15.79,857,0.20,13.01,879,0.02,10.25,683,0.28,14.18,1137,0.34,15.13,1139,0.41,16.19,850,0.52,17.81,1103,0.15,12.21,1090,0.26,13.83,963,0.60,28.98,1188,0.52,27.74,985,0.31,24.64,1108,0.39,25.87,1096,0.48,27.15,1159,9,25.00,177.24,io_bound
37,2,512,92,0.33,10.01,1195,0.16,7.34,817,0.35,10.28,1056,0.17,7.53,1198,0.24,8.62,1075,0.27,14.02,1191,0.54,18.12,1178,0.48,17.20,880,0.30,14.49,1198,0.23,13.48,1073,0.55,18.18,871,0.25,13.68,1040,0.15,12.23,820,0.48,17.27,1139,0.42,16.29,1103,0.09,21.35,838,0.15,22.18,1150,0.22,23.24,1164,0.17,22.51,1088,0.56,28.43,1030,16,75.00,83.65,mixed
39,1,4096,173,0.18,7.63,800,0.46,11.88,1067,0.34,10.16,929,0.30,9.50,1178,0.47,12.01,988,0.22,13.31,1022,0.39,15.84,1155,0.53,17.91,1042,0.16,12.33,1105,0.36,15.34,1129,0.27,14.02,1186,0.26,13.88,857,0.33,14.91,1041,0.20,12.97,1012,0.24,13.64,812,0.53,28.02,841,0.25,23.80,1094,0.01,20.08,651,0.53,27.89,1190,0.34,25.03,1148,18,10.00,166.44,cpu_bound
40,1,512,75,0.09,6.36,831,0.02,5.24,1006,0.11,6.59,1025,0.53,12.97,925,0.45,11.82,1190,0.51,17.63,1059,0.42,16.33,893,0.58,18.74,1047,0.21,13.18,851,0.53,18.02,918,0.13,11.98,1093,0.42,16.29,1146,0.21,13.13,810,0.30,14.46,983,0.02,10.28,874,0.27,24.11,1142,0.26,23.87,931,0.33,25.02,1183,0.10,21.57,807,0.17,22.55,1017,2,150.00,71.27,mixed
41,2,512,94,0.10,6.44,824,0.31,9.64,853,0.28,9.25,1004,0.16,7.35,1068,0.58,13.69,975,0.44,16.64,1025,0.52,17.79,945,0.52,17.87,862,0.29,14.37,1081,0.15,12.20,1110,0.54,18.14,925,0.40,16.06,1087,0.40,16.06,965,0.31,14.59,863,0.43,16.39,849,0.01,20.15,1032,0.14,22.12,1165,0.05,20.75,932,0.03,20.42,950,0.15,22.18,1093,16,5.00,92.92,cpu_bound
43,1,4096,245,0.43,11.40,1179,0.04,5.64,772,0.04,5.67,918,0.17,7.51,1194,0.46,11.86,1102,0.40,15.93,977,0.17,12.52,1098,0.25,13.75,911,0.46,16.83,945,0.34,15.03,1064,0.14,12.13,827,0.18,12.67,813,0.34,15.04,957,0.10,11.49,1006,0.08,11.16,952,0.05,20.70,1095,0.35,25.31,892,0.17,22.52,918,0.40,25.98,1070,0.26,23.91,961,2,150.00,228.22,mixed
44,2,4096,138,0.32,9.83,957,0.45,11.73,848,0.37,10.60,1140,0.35,10.18,1025,0.13,6.90,811,0.35,15.30,1128,0.19,12.82,1076,0.11,11.67,1172,0.06,10.85,1181,0.12,11.81,923,0.36,15.47,1171,0.27,14.06,1092,0.53,17.96,1069,0.19,12.83,962,0.03,10.47,982,0.07,21.06,1185,0.27,23.99,926,0.46,26.88,962,0.34,25.09,932,0.16,22.42,1025,15,25.00,127.01,io_bound
45,1,1024,66,0.31,9.63,1143,0.12,6.78,1163,0.20,7.97,934,0.46,11.85,844,0.27,9.08,902,0.34,15.13,886,0.57,18.60,1020,0.25,13.71,1157,0.58,18.69,952,0.28,14.17,982,0.07,11.07,830,0.02,10.26,1011,0.13,11.99,983,0.25,13.72,986,0.37,15.58,1132,0.23,23.47,1005,0.04,20.62,963,0.40,25.97,813,0.00,20.03,851,0.50,27.48,857,12,150.00,64.35,mixed
46,2,4096,200,0.59,13.80,805,0.24,8.58,1058,0.29,9.41,826,0.23,8.50,1048,0.07,6.04,848,0.09,11.33,857,0.50,17.53,1168,0.29,14.33,865,0.14,12.07,1103,0.29,14.30,981,0.05,10.74,876,0.53,17.89,935,0.22,13.31,854,0.38,15.67,819,0.11,11.60,883,0.35,25.26,997,0.24,23.58,1138,0.45,26.75,1152,0.32,24.76,1046,0.52,27.80,932,11,25.00,190.16,io_bound
50,2,4096,229,0.60,13.98,932,0.08,6.16,1003,0.58,13.67,844,0.32,9.80,952,0.40,10.99,813,0.38,15.69,1114,0.46,16.90,1074,0.45,16.81,1015,0.40,15.95,1011,0.04,10.57,702,0.22,13.34,862,0.10,11.47,1194,0.43,16.43,826,0.37,15.57,1068,0.56,18.35,904,0.42,26.33,1018,0.36,25.44,1151,0.17,22.57,941,0.57,28.59,806,0.05,20.68,1062,10,75.00,217.14,mixed
52,1,512,182,0.44,11.53,1126,0.58,13.74,1109,0.59,13.82,1075,0.55,13.22,956,0.13,6.96,1186,0.07,11.12,1062,0.05,10.81,953,0.34,15.05,1001,0.18,12.72,800,0.26,13.96,1082,0.35,15.22,887,0.58,18.66,1077,0.41,16.16,907,0.42,16.37,931,0.45,16.76,1127,0.38,25.71,954,0.06,20.96,1002,0.57,28.61,882,0.34,25.04,852,0.26,23.83,1019,7,50.00,170.69,io_bound
54,1,4096,237,0.53,12.98,1056,0.55,13.20,941,0.01,5.14,989,0.12,6.81,929,0.01,5.08,691,0.39,15.86,805,0.03,10.47,1164,0.49,17.36,1172,0.58,18.65,837,0.04,10.66,983,0.17,12.50,883,0.40,16.00,1070,0.30,14.51,1183,0.53,17.97,813,0.34,15.12,1073,0.06,20.96,973,0.12,21.80,967,0.40,26.04,835,0.45,26.76,934,0.34,25.14,976,5,10.00,226.97,cpu_bound
55,2,4096,75,0.38,10.66,956,0.46,11.97,853,0.16,7.47,813,0.53,12.94,997,0.38,10.65,1018,0.51,17.71,855,0.33,14.88,1196,0.47,16.98,903,0.39,15.83,842,0.36,15.43,987,0.33,14.91,1139,0.31,14.63,1181,0.21,13.08,819,0.41,16.18,814,0.06,10.84,995,0.20,23.03,870,0.60,28.97,1146,0.18,22.71,934,0.17,22.56,1109,0.44,26.67,1170,15,25.00,64.18,io_bound
58,2,512,138,0.24,8.65,1131,0.25,8.73,1069,0.30,9.51,904,0.29,9.38,1162,0.02,5.29,694,0.27,13.98,1008,0.20,12.99,934,0.24,13.61,865,0.15,12.31,984,0.02,10.35,1080,0.11,11.64,1170,0.38,15.69,981,0.34,15.04,1074,0.12,11.78,1186,0.54,18.15,1142,0.55,28.27,874,0.46,26.83,1001,0.16,22.40,1096,0.30,24.54,820,0.35,25.26,1198,5,5.00,134.11,cpu_bound
61,2,2048,254,0.14,7.17,1075,0.49,12.30,1098,0.46,11.92,1132,0.19,7.80,1003,0.53,12.93,839,0.22,13.29,1085,0.49,17.29,961,0.25,13.80,1104,0.04,10.56,552,0.05,10.80,815,0.60,18.93,854,0.55,18.25,1119,0.06,10.88,968,0.24,13.66,1072,0.47,16.98,925,0.41,26.22,1093,0.40,26.04,1161,0.26,23.96,930,0.47,27.01,877,0.58,28.68,1079,9,25.00,228.45,io_bound
62,2,512,138,0.46,11.88,943,0.41,11.21,1094,0.36,10.36,928,0.18,7.65,915,0.52,12.73,988,0.53,17.92,1146,0.07,11.03,1043,0.15,12.27,983,0.18,12.70,927,0.34,15.14,881,0.32,14.80,944,0.47,17.12,910,0.48,17.13,894,0.34,15.17,1085,0.10,11.45,811,0.51,27.69,849,0.18,22.68,1036,0.20,22.95,816,0.19,22.82,817,0.57,28.62,1016,7,5.00,118.91,cpu_bound
67,2,512,240,0.52,12.79,1012,0.28,9.27,1002,0.06,5.95,1008,0.39,10.89,1034,0.14,7.08,943,0.56,18.35,1006,0.50,17.50,846,0.18,12.64,853,0.07,11.00,1065,0.02,10.33,587,0.11,11.60,868,0.45,16.68,1105,0.55,18.18,883,0.11,11.68,802,0.17,12.55,967,0.17,22.57,853,0.33,24.92,851,0.56,28.47,928,0.26,23.94,905,0.46,26.97,859,10,75.00,223.84,mixed
68,2,1024,244,0.03,5.50,1096,0.15,7.18,962,0.44,11.62,921,0.00,5.05,839,0.33,9.89,1025,0.32,14.78,1112,0.29,14.42,1189,0.45,16.73,914,0.47,17.08,1095,0.14,12.09,1183,0.52,17.73,866,0.25,13.78,916,0.34,15.16,1061,0.33,14.91,898,0.26,13.90,1076,0.38,25.75,1122,0.35,25.20,1147,0.24,23.65,1148,0.12,21.80,1112,0.11,21.66,1103,4,5.00,226.07,cpu_bound
69,1,1024,234,0.40,11.04,1050,0.29,9.36,970,0.17,7.60,1055,0.21,8.17,962,0.27,9.08,1129,0.49,17.37,923,0.56,18.33,1189,0.18,12.73,857,0.07,11.04,851,0.19,12.83,1109,0.54,18.05,989,0.51,17.70,1190,0.57,18.57,881,0.52,17.79,1072,0.24,13.62,887,0.10,21.56,990,0.50,27.51,932,0.40,25.99,1128,0.05,20.77,1188,0.48,27.15,1045,9,10.00,204.70,cpu_bound
71,1,512,247,0.05,5.76,992,0.04,5.56,850,0.33,9.88,1141,0.37,10.61,1094,0.22,8.33,1160,0.59,18.89,1154,0.31,14.65,869,0.13,11.92,868,0.45,16.71,1062,0.44,16.61,818,0.18,12.77,989,0.31,14.72,912,0.18,12.76,804,0.43,16.50,969,0.59,18.78,908,0.28,24.19,877,0.08,21.23,1038,0.42,26.32,824,0.09,21.29,1067,0.16,22.39,1096,2,50.00,222.80,io_bound
74,1,4096,161,0.09,6.34,1174,0.51,12.61,841,0.45,11.72,932,0.24,8.55,1132,0.34,10.11,1006,0.45,16.79,1081,0.13,12.02,914,0.35,15.19,802,0.48,17.13,880,0.19,12.84,1044,0.23,13.39,1164,0.33,14.95,1126,0.57,18.52,836,0.04,10.58,814,0.46,16.88,1124,0.55,28.18,1189,0.09,21.36,1052,0.08,21.26,1169,0.44,26.59,1027,0.42,26.37,919,14,10.00,154.59,cpu_bound
75,2,512,148,0.00,5.06,859,0.46,11.92,826,0.03,5.50,1172,0.37,10.52,1005,0.49,12.31,1027,0.46,16.90,1152,0.45,16.73,822,0.43,16.45,1163,0.01,10.10,833,0.36,15.42,802,0.09,11.39,840,0.49,17.34,1185,0.51,17.58,1162,0.43,16.46,1001,0.12,11.84,893,0.10,21.54,1009,0.23,23.43,854,0.18,22.74,1132,0.28,24.21,950,0.49,27.41,1135,1,75.00,137.34,mixed
77,2,2048,71,0.20,7.94,1006,0.20,8.00,1092,0.20,7.93,825,0.31,9.66,802,0.40,11.04,970,0.35,15.28,1114,0.20,12.93,1182,0.53,17.98,1092,0.39,15.83,948,0.24,13.58,888,0.13,11.99,1073,0.09,11.37,804,0.40,15.96,941,0.44,16.53,838,0.32,14.82,1171,0.05,20.81,811,0.39,25.90,1123,0.18,22.65,1063,0.41,26.22,1006,0.49,27.40,1184,12,75.00,63.20,mixed
78,1,2048,55,0.21,8.13,890,0.02,5.32,878,0.41,11.12,1018,0.04,5.65,1024,0.14,7.06,966,0.04,10.60,903,0.29,14.38,1101,0.48,17.13,851,0.50,17.47,1129,0.07,11.03,846,0.13,11.93,1034,0.41,16.20,1114,0.29,14.40,1088,0.15,12.27,815,0.31,14.60,875,0.16,22.35,929,0.58,28.63,810,0.00,20.01,809,0.56,28.39,919,0.26,23.92,964,2,50.00,48.79,io_bound
79,1,1024,210,0.46,11.86,1033,0.25,8.77,1145,0.46,11.87,982,0.23,8.49,917,0.38,10.63,1110,0.52,17.80,1179,0.14,12.12,1060,0.08,11.14,1123,0.07,11.07,947,0.01,10.11,623,0.09,11.36,859,0.53,17.89,955,0.55,18.28,845,0.50,17.50,900,0.54,18.11,808,0.54,28.07,1183,0.12,21.73,827,0.30,24.48,1198,0.14,22.05,838,0.46,26.95,989,10,10.00,205.35,cpu_bound
81,1,1024,53,0.07,6.10,1035,0.42,11.36,1184,0.33,9.97,1083,0.35,10.20,940,0.16,7.44,940,0.59,18.89,1062,0.14,12.16,1123,0.27,14.00,990,0.27,14.00,1051,0.07,11.07,927,0.33,14.90,859,0.38,15.76,908,0.43,16.43,1109,0.56,18.42,1048,0.39,15.90,1032,0.35,25.28,1006,0.46,26.92,1053,0.29,24.28,821,0.24,23.64,846,0.40,26.00,1011,1,10.00,46.57,cpu_bound
83,1,2048,151,0.02,5.26,723,0.19,7.90,933,0.19,7.89,917,0.11,6.59,909,0.33,9.99,1145,0.10,11.50,870,0.38,15.63,1077,0.60,18.95,1139,0.49,17.35,1157,0.29,14.34,1173,0.12,11.80,1012,0.17,12.57,901,0.22,13.28,1190,0.33,14.91,1015,0.09,11.31,899,0.58,28.76,984,0.53,27.93,1103,0.43,26.43,1035,0.58,28.67,1134,0.33,24.91,952,1,10.00,145.40,cpu_bound
84,1,1024,208,0.59,13.90,980,0.41,11.19,1174,0.56,13.47,910,0.52,12.81,818,0.38,10.65,990,0.35,15.29,985,0.50,17.53,809,0.43,16.52,819,0.38,15.70,916,0.52,17.77,903,0.11,11.60,968,0.23,13.49,1103,0.00,10.06,850,0.54,18.10,1191,0.41,16.15,943,0.47,27.10,824,0.57,28.58,849,0.37,25.60,1052,0.59,28.84,998,0.08,21.22,944,13,50.00,197.10,io_bound
85,2,4096,287,0.32,9.78,990,0.23,8.48,1177,0.19,7.78,989,0.48,12.26,1010,0.07,6.03,1140,0.37,15.56,863,0.00,10.00,552,0.16,12.41,1021,0.28,14.18,1099,0.02,10.26,875,0.32,14.86,1177,0.49,17.30,1024,0.25,13.75,1055,0.19,12.87,1023,0.36,15.37,973,0.27,24.09,883,0.38,25.64,989,0.28,24.22,816,0.28,24.23,892,0.52,27.85,1125,7,5.00,262.78,cpu_bound
86,2,2048,162,0.42,11.29,818,0.41,11.11,831,0.17,7.52,1019,0.44,11.55,1040,0.12,6.86,1130,0.24,13.56,1132,0.43,16.42,876,0.24,13.59,813,0.07,11.00,1036,0.18,12.75,832,0.28,14.13,928,0.15,12.18,1024,0.34,15.05,1038,0.45,16.73,826,0.55,18.29,1089,0.42,26.37,1124,0.15,22.22,1034,0.20,23.07,864,0.29,24.39,1048,0.32,24.75,829,9,5.00,147.07,cpu_bound
87,1,1024,262,0.08,6.19,1132,0.23,8.44,1178,0.32,9.73,929,0.18,7.65,1138,0.38,10.64,945,0.59,18.92,1184,0.27,14.05,898,0.00,10.01,632,0.02,10.25,1076,0.44,16.54,1047,0.11,11.63,1170,0.46,16.93,899,0.17,12.53,1148,0.45,16.74,1050,0.45,16.78,989,0.08,21.24,895,0.11,21.63,1074,0.53,27.89,1159,0.47,27.03,861,0.02,20.36,923,8,50.00,250.73,io_bound
